Code INSEE;Nom complet;Découpage;Chef Lieu;Code région;Code département;Code commune;Code arrondissement;Code canton;Type de nom en clair;Nom en clair;Nom en clair (typographie riche);Année;Article;Charnière
21421;Moloy;Commune non découpée en cantons;Commune non chef-lieu;26;21;421;2;16;/ DE;MOLOY;Moloy;2015;;DE
58094;Dampierre-sous-Bouhy;Commune non découpée en cantons;Commune non chef-lieu;26;58;94;4;15;/ DE;DAMPIERRE-SOUS-BOUHY;Dampierre-sous-Bouhy;2015;;DE
14068;Biéville-Beuville;Commune non découpée en cantons;Commune non chef-lieu;28;14;68;2;20;/ DE;BIEVILLE-BEUVILLE;Biéville-Beuville;2018;;DE
53204;Saint-Calais-du-Désert;Commune non découpée en cantons;Commune non chef-lieu;52;53;204;3;17;/ DE;SAINT-CALAIS-DU-DESERT;Saint-Calais-du-Désert;2015;;DE
53249;Saint-Pierre-sur-Orthe;Commune non découpée en cantons;Commune non chef-lieu;52;53;249;3;6;/ DE;SAINT-PIERRE-SUR-ORTHE;Saint-Pierre-sur-Orthe;2015;;DE
50458;Saint-Côme-du-Mont;Commune non découpée en cantons;Commune non chef-lieu;25;50;458;4;5;/ DE;SAINT-COME-DU-MONT;Saint-Côme-du-Mont;2015;;DE
51619;Le Vieil-Dampierre;Commune non découpée en cantons;Commune non chef-lieu;21;51;619;5;1;LE / DU;VIEIL-DAMPIERRE;Vieil-Dampierre;2015;LE;DU
33530;Teuillac;Commune non découpée en cantons;Commune non chef-lieu;75;33;530;1;13;/ DE;TEUILLAC;Teuillac;2016;;DE
46116;Frontenac;Commune non découpée en cantons;Commune non chef-lieu;73;46;116;2;5;/ DE;FRONTENAC;Frontenac;2015;;DE
21484;Planay;Commune non découpée en cantons;Commune non chef-lieu;27;21;484;3;19;/ DE;PLANAY;Planay;2018;;DE
76273;Fontaine-sous-Préaux;Commune non découpée en cantons;Commune non chef-lieu;28;76;273;3;6;/ DE;FONTAINE-SOUS-PREAUX;Fontaine-sous-Préaux;2018;;DE
18070;Concressault;Commune non découpée en cantons;Commune non chef-lieu;24;18;70;1;16;/ DE;CONCRESSAULT;Concressault;2018;;DE
18231;Saint-Pierre-les-Étieux;Commune non découpée en cantons;Commune non chef-lieu;24;18;231;2;9;/ DE;SAINT-PIERRE-LES-ETIEUX;Saint-Pierre-les-Étieux;2018;;DE
10130;Dosnon;Commune non découpée en cantons;Commune non chef-lieu;44;10;130;3;2;/ DE;DOSNON;Dosnon;2016;;DE
21340;Lanthes;Commune non découpée en cantons;Commune non chef-lieu;27;21;340;1;4;/ DE;LANTHES;Lanthes;2018;;DE
91156;Cheptainville;Commune non découpée en cantons;Commune non chef-lieu;11;91;156;3;1;/ DE;CHEPTAINVILLE;Cheptainville;2018;;DE
24262;Mayac;Commune non découpée en cantons;Commune non chef-lieu;75;24;262;2;6;/ DE;MAYAC;Mayac;2018;;DE
90035;Dorans;Commune non découpée en cantons;Commune non chef-lieu;27;90;35;1;5;/ DE;DORANS;Dorans;2016;;DE
90086;Romagny-sous-Rougemont;Commune non découpée en cantons;Commune non chef-lieu;27;90;86;1;7;/ DE;ROMAGNY-SOUS-ROUGEMONT;Romagny-sous-Rougemont;2016;;DE
11078;Castelreng;Commune non découpée en cantons;Commune non chef-lieu;76;11;78;2;9;/ DE;CASTELRENG;Castelreng;2018;;DE
34246;Saint-Christol;Commune non découpée en cantons;Commune non chef-lieu;76;34;246;3;12;/ DE;SAINT-CHRISTOL;Saint-Christol;2018;;DE
67031;Bernardswiller;Commune non découpée en cantons;Commune non chef-lieu;44;67;31;5;12;/ DE;BERNARDSWILLER;Bernardswiller;2018;;DE
38336;Reventin-Vaugris;Commune non découpée en cantons;Commune non chef-lieu;84;38;336;3;28;/ DE;REVENTIN-VAUGRIS;Reventin-Vaugris;2018;;DE
49350;Torfou;Commune non découpée en cantons;Commune non chef-lieu;52;49;350;2;18;/ DE;TORFOU;Torfou;2015;;DE
71446;Saint-Marcelin-de-Cray;Commune non découpée en cantons;Commune non chef-lieu;27;71;446;5;11;/ DE;SAINT-MARCELIN-DE-CRAY;Saint-Marcelin-de-Cray;2018;;DE
57184;Dornot;Commune non découpée en cantons;Commune non chef-lieu;41;57;184;9;5;/ DE;DORNOT;Dornot;2015;;DE
8433;Suzanne;Commune non découpée en cantons;Commune non chef-lieu;44;8;433;4;1;/ DE;SUZANNE;Suzanne;2016;;DE
21250;Essarois;Commune non découpée en cantons;Commune non chef-lieu;27;21;250;3;5;/ D';ESSAROIS;Essarois;2018;;D'
32228;Manent-Montané;Commune non découpée en cantons;Commune non chef-lieu;73;32;228;3;3;/ DE;MANENT-MONTANE;Manent-Montané;2015;;DE
4156;Puimichel;Commune non découpée en cantons;Commune non chef-lieu;93;4;156;4;12;/ DE;PUIMICHEL;Puimichel;2018;;DE
71195;Farges-lès-Mâcon;Commune non découpée en cantons;Commune non chef-lieu;27;71;195;5;29;/ DE;FARGES-LES-MACON;Farges-lès-Mâcon;2016;;DE
54508;Sivry;Commune non découpée en cantons;Commune non chef-lieu;41;54;508;3;2;/ DE;SIVRY;Sivry;2015;;DE
15029;Cassaniouze;Commune non découpée en cantons;Commune non chef-lieu;84;15;29;1;1;/ DE;CASSANIOUZE;Cassaniouze;2016;;DE
26275;Rochegude;Commune non découpée en cantons;Commune non chef-lieu;84;26;275;2;14;/ DE;ROCHEGUDE;Rochegude;2018;;DE
55079;Brillon-en-Barrois;Commune non découpée en cantons;Commune non chef-lieu;44;55;79;1;1;/ DE;BRILLON-EN-BARROIS;Brillon-en-Barrois;2018;;DE
44038;Chauvé;Commune non découpée en cantons;Commune non chef-lieu;52;44;38;3;20;/ DE;CHAUVE;Chauvé;2016;;DE
45107;Coudroy;Commune non découpée en cantons;Commune non chef-lieu;24;45;107;1;8;/ DE;COUDROY;Coudroy;2016;;DE
7094;Gilhac-et-Bruzac;Commune non découpée en cantons;Commune non chef-lieu;82;7;94;2;17;/ DE;GILHAC-ET-BRUZAC;Gilhac-et-Bruzac;2015;;DE
49139;Fontaine-Milon;Commune non découpée en cantons;Commune non chef-lieu;52;49;139;1;8;/ DE;FONTAINE-MILON;Fontaine-Milon;2015;;DE
61301;Neauphe-sous-Essai;Commune non découpée en cantons;Commune non chef-lieu;28;61;301;1;19;/ DE;NEAUPHE-SOUS-ESSAI;Neauphe-sous-Essai;2016;;DE
64095;Barinque;Commune non découpée en cantons;Commune non chef-lieu;75;64;95;3;23;/ DE;BARINQUE;Barinque;2018;;DE
53093;La Dorée;Commune non découpée en cantons;Commune non chef-lieu;52;53;93;3;7;LA / DE LA;DOREE;Dorée;2018;LA;DE LA
39472;Rye;Commune non découpée en cantons;Commune non chef-lieu;27;39;472;2;3;/ DE;RYE;Rye;2016;;DE
70358;Montcey;Commune non découpée en cantons;Commune non chef-lieu;27;70;358;2;16;/ DE;MONTCEY;Montcey;2018;;DE
33376;Saint-Aubin-de-Médoc;Commune non découpée en cantons;Commune non chef-lieu;75;33;376;2;28;/ DE;SAINT-AUBIN-DE-MEDOC;Saint-Aubin-de-Médoc;2018;;DE
56043;Concoret;Commune non découpée en cantons;Commune non chef-lieu;53;56;43;2;13;/ DE;CONCORET;Concoret;2018;;DE
60481;Orrouy;Commune non découpée en cantons;Commune non chef-lieu;32;60;481;4;9;/ D';ORROUY;Orrouy;2016;;D'
62670;Preures;Commune non découpée en cantons;Commune non chef-lieu;32;62;670;4;33;/ DE;PREURES;Preures;2016;;DE
66108;Millas;Commune non découpée en cantons;Commune non chef-lieu;76;66;108;3;16;/ DE;MILLAS;Millas;2018;;DE
8151;Écordal;Commune non découpée en cantons;Commune non chef-lieu;44;8;151;4;1;/ D';ECORDAL;Écordal;2016;;D'
47221;Réaup-Lisse;Commune non découpée en cantons;Commune non chef-lieu;75;47;221;4;5;/ DE;REAUP-LISSE;Réaup-Lisse;2016;;DE
32071;Caillavet;Commune non découpée en cantons;Commune non chef-lieu;76;32;71;1;8;/ DE;CAILLAVET;Caillavet;2016;;DE
33101;Cartelègue;Commune non découpée en cantons;Commune non chef-lieu;72;33;101;1;13;/ DE;CARTELEGUE;Cartelègue;2015;;DE
80384;Grandcourt;Commune non découpée en cantons;Commune non chef-lieu;32;80;384;4;5;/ DE;GRANDCOURT;Grandcourt;2018;;DE
65183;Galan;Commune non découpée en cantons;Commune non chef-lieu;73;65;183;3;14;/ DE;GALAN;Galan;2015;;DE
51634;Villers-le-Château;Commune non découpée en cantons;Commune non chef-lieu;44;51;634;1;4;/ DE;VILLERS-LE-CHATEAU;Villers-le-Château;2018;;DE
21608;Sincey-lès-Rouvray;Commune non découpée en cantons;Commune non chef-lieu;27;21;608;3;22;/ DE;SINCEY-LES-ROUVRAY;Sincey-lès-Rouvray;2016;;DE
2333;Fresnes;Commune non découpée en cantons;Commune non chef-lieu;32;2;333;2;20;/ DE;FRESNES;Fresnes;2016;;DE
78082;Boissy-Mauvoisin;Commune non découpée en cantons;Commune non chef-lieu;11;78;82;1;2;/ DE;BOISSY-MAUVOISIN;Boissy-Mauvoisin;2016;;DE
28285;Oinville-sous-Auneau;Commune non découpée en cantons;Commune non chef-lieu;24;28;285;1;2;/ D';OINVILLE-SOUS-AUNEAU;Oinville-sous-Auneau;2016;;D'
71425;Saint-Gilles;Commune non découpée en cantons;Commune non chef-lieu;27;71;425;2;4;/ DE;SAINT-GILLES;Saint-Gilles;2016;;DE
25613;Viéthorey;Commune non découpée en cantons;Commune non chef-lieu;27;25;613;1;2;/ DE;VIETHOREY;Viéthorey;2016;;DE
63459;Villeneuve-les-Cerfs;Commune non découpée en cantons;Commune non chef-lieu;83;63;459;4;20;/ DE;VILLENEUVE-LES-CERFS;Villeneuve-les-Cerfs;2015;;DE
56200;Ruffiac;Commune non découpée en cantons;Commune non chef-lieu;53;56;200;3;10;/ DE;RUFFIAC;Ruffiac;2015;;DE
25254;Les Fourgs;Commune non découpée en cantons;Commune non chef-lieu;27;25;254;3;11;LES / DES;FOURGS;Fourgs;2018;LES;DES
21181;Clomot;Commune non découpée en cantons;Commune non chef-lieu;27;21;181;1;1;/ DE;CLOMOT;Clomot;2018;;DE
21356;Losne;Commune non découpée en cantons;Commune non chef-lieu;27;21;356;1;4;/ DE;LOSNE;Losne;2018;;DE
38500;Têche;Commune non découpée en cantons;Commune non chef-lieu;84;38;500;1;23;/ DE;TECHE;Têche;2016;;DE
25214;Écot;Commune non découpée en cantons;Commune non chef-lieu;27;25;214;2;19;/ D';ECOT;Écot;2018;;D'
2001;Abbécourt;Commune non découpée en cantons;Commune non chef-lieu;32;2;1;2;3;/ D';ABBECOURT;Abbécourt;2016;;D'
51307;Jonchery-sur-Suippe;Commune non découpée en cantons;Commune non chef-lieu;44;51;307;1;1;/ DE;JONCHERY-SUR-SUIPPE;Jonchery-sur-Suippe;2018;;DE
14070;Beuvron-en-Auge;Commune non découpée en cantons;Commune non chef-lieu;28;14;70;3;19;/ DE;BEUVRON-EN-AUGE;Beuvron-en-Auge;2016;;DE
28317;Roinville;Commune non découpée en cantons;Commune non chef-lieu;24;28;317;1;2;/ DE;ROINVILLE;Roinville;2016;;DE
60311;La Hérelle;Commune non découpée en cantons;Commune non chef-lieu;32;60;311;2;19;LA / DE LA;HERELLE;Hérelle;2018;LA;DE LA
21429;Montigny-Montfort;Commune non découpée en cantons;Commune non chef-lieu;27;21;429;3;19;/ DE;MONTIGNY-MONTFORT;Montigny-Montfort;2018;;DE
33478;Saint-Seurin-sur-l'Isle;Commune non découpée en cantons;Commune non chef-lieu;75;33;478;5;21;/ DE;SAINT-SEURIN-SUR-L'ISLE;Saint-Seurin-sur-l'Isle;2018;;DE
23110;Lioux-les-Monges;Commune non découpée en cantons;Commune non chef-lieu;75;23;110;1;3;/ DE;LIOUX-LES-MONGES;Lioux-les-Monges;2018;;DE
33378;Saint-Avit-Saint-Nazaire;Commune non découpée en cantons;Commune non chef-lieu;72;33;378;5;27;/ DE;SAINT-AVIT-SAINT-NAZAIRE;Saint-Avit-Saint-Nazaire;2015;;DE
34189;Olonzac;Commune non découpée en cantons;Commune non chef-lieu;76;34;189;1;24;/ D';OLONZAC;Olonzac;2018;;D'
74250;Saint-Pierre-en-Faucigny;Commune non découpée en cantons;Commune non chef-lieu;84;74;250;2;5;/ DE;SAINT-PIERRE-EN-FAUCIGNY;Saint-Pierre-en-Faucigny;2018;;DE
50112;La Chaise-Baudouin;Commune non découpée en cantons;Commune non chef-lieu;28;50;112;1;15;LA / DE LA;CHAISE-BAUDOUIN;Chaise-Baudouin;2016;LA;DE LA
60189;Cuts;Commune non découpée en cantons;Commune non chef-lieu;22;60;189;3;17;/ DE;CUTS;Cuts;2015;;DE
71254;Lays-sur-le-Doubs;Commune non découpée en cantons;Commune non chef-lieu;27;71;254;4;26;/ DE;LAYS-SUR-LE-DOUBS;Lays-sur-le-Doubs;2016;;DE
60113;Bucamps;Commune non découpée en cantons;Commune non chef-lieu;32;60;113;2;19;/ DE;BUCAMPS;Bucamps;2018;;DE
79074;La Chapelle-Pouilloux;Commune non découpée en cantons;Commune non chef-lieu;75;79;74;2;8;LA / DE LA;CHAPELLE-POUILLOUX;Chapelle-Pouilloux;2016;LA;DE LA
72066;La Chapelle-Saint-Fray;Commune non découpée en cantons;Commune non chef-lieu;52;72;66;2;7;LA / DE LA;CHAPELLE-SAINT-FRAY;Chapelle-Saint-Fray;2018;LA;DE LA
24067;Le Bugue;Commune non découpée en cantons;Commune non chef-lieu;75;24;67;4;25;LE / DU;BUGUE;Bugue;2018;LE;DU
79063;Val en Vignes;Commune non découpée en cantons;Commune non chef-lieu;75;79;63;1;17;/ DE;VAL EN VIGNES;Val en Vignes;2018;;DE
24438;Saint-Laurent-la-Vallée;Commune non découpée en cantons;Commune non chef-lieu;75;24;438;4;23;/ DE;SAINT-LAURENT-LA-VALLEE;Saint-Laurent-la-Vallée;2016;;DE
